title;slug;status;enabled;sku;price;stock;weight;description;coverImage;thumbnailImage;thumbnailHiddenImage;dimensions;origin;age;quote;quoteAuthor;quoteBackgroundColor;quoteExternalLinkURL;quoteExternalLinkLabel;textAndImageText;textAndImageImage;fullWidthImageImage;productCategory;productType;ageCategory;dimensionsRange;material;;;;
Zinc bucket;Zinc bucket;Enabled;Enabled;22276;150;1;8,82 [lbs];No description yet;;;;H 13,78 x W 16,34 x D 14,57;Belgium;1950;;;;;;;;;;;20th Century;;;;;;
Zinc bucket;Zinc bucket;Enabled;Enabled;22277;150;1;8,82 [lbs];No description yet;;;;H 13,78 x W 16,34 x D 14,57;Belgium;1950;;;;;;;;;;;20th Century;;;;;;
Zinc bucket;Zinc bucket;Enabled;Enabled;22278;225;1;32,41 [lbs];No description yet;;;;H 29,92 x W 11,42 x D 11,42;France;1950;;;;;;;;;;;20th Century;;;;;;
Zinc bucket;Zinc bucket;Enabled;Enabled;22279;125;1;23,15 [lbs];No description yet;;;;H 21,65 x W 16,54 x D 16,14;France;1960;;;;;;;;;;;20th Century;;;;;;
Plaster vase;Plaster vase;Enabled;Enabled;22280;295;2;12,57 [lbs];No description yet;;;;H 25,98 x W 11,02 x D 11,02;France;1900;;;;;;;;;;;20th Century;;;;;;
Wooden elephant;Wooden elephant;Enabled;Enabled;22281;295;2;12,57 [lbs];No description yet;;;;H 16,54 x W 6,69 x D 12,6;Africa ;1960;;;;;;;;;;;20th Century;;;;;;
Wooden sofa with upholstered seat and back;Wooden sofa with upholstered seat and back;Enabled;Enabled;22290;1695;1;70,56 [lbs];No description yet;;;;H 41,73 x W 53,15 x D 27,56;France;1900;;;;;;;;;;;20th Century;;;;;;
Bleached oak buffet;Bleached oak buffet;Enabled;Enabled;22291;1895;1;180,82 [lbs];No description yet;;;;H 42,72 x W 57,48 x D 18,11;France;1860;;;;;;;;;;;19th Century;;;;;;
Bleached oak buffet;Bleached oak buffet;Enabled;Enabled;22292;1995;1;172 [lbs];No description yet;;;;H 45,67 x W 50,79 x D 22,83;France;1840;;;;;;;;;;;19th Century;;;;;;
Bleached oak cupboard;Bleached oak cupboard;Enabled;Enabled;22293;2995;1;269,02 [lbs];No description yet;;;;H 84,65 x W 59,06 x D 23,62;France;1820;;;;;;;;;;;19th Century;;;;;;
